Model,Age,Afraid,Angry,Attractive,Babyfaced,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Warm,Competent,SocialStatus
IM683-231,27.68181818,2.636363636,2.772727273,5.136363636,2.409090909,2.818181818,,2.136363636,3.954545455,5.454545455,3.774193548,3.045454545,,3.272727273,2.863636364,4.681818182,2.818181818,4.454545455,4.727272727,4.863636364
IM684-008,39.2,3.3,2.75,2.95,2.7,2.65,,2,3.4,4.4,3.903225806,2.9,,2.75,3,4.15,2.9,3.85,4.35,4.2
IM685-004,38.31578947,3.263157895,4.473684211,3.421052632,2.578947368,3.526315789,,2.894736842,3.157894737,5.157894737,3.096774194,3.526315789,,3.210526316,4,3.842105263,3.473684211,3.684210526,4.052631579,4
IM686-097,36.8,1.95,2.25,4.55,1.9,1.8,,1.9,4.3,5.7,2.827586207,2.25,,2.5,3.1,4.65,2.6,4.25,5,5.3
IM687-511,31.1,2.55,3.2,4.35,2.95,2.8,,2.25,3.75,5.05,3.785714286,2.45,,3.6,3.1,4.75,3.05,3.95,4.05,4.95
IM688-322,26.10526316,3.157894737,2.894736842,4.052631579,2.789473684,2.789473684,,2.263157895,3.315789474,5.315789474,3.689655172,3.105263158,,3.631578947,2.684210526,4.105263158,2.789473684,3.473684211,3.947368421,4
IM689-263,32.72727273,2.954545455,3.318181818,2.590909091,2,3.181818182,,2,3.227272727,4.409090909,3.647058824,2.863636364,,2.409090909,3.181818182,3.363636364,2.954545455,3.181818182,3.681818182,3.363636364
IM690-282,33,3.428571429,2.476190476,4.380952381,2.285714286,2.238095238,,2.523809524,3.476190476,5.047619048,3.8,3.523809524,,3.095238095,2.571428571,4.666666667,2.761904762,4.428571429,4.428571429,4.333333333
IM692-011,25.61904762,3.047619048,2.428571429,3.904761905,2.714285714,2.523809524,,2.238095238,4.142857143,4.19047619,3.827586207,3.095238095,,3.047619048,2.714285714,4.047619048,3.19047619,4.380952381,3.904761905,3.80952381
IM694-297,25.38888889,2.166666667,2.611111111,3.666666667,2.222222222,2.611111111,,1.611111111,2.611111111,4.666666667,3.967741935,3.277777778,,2.222222222,3.111111111,4.055555556,3.055555556,3.555555556,4.222222222,4.055555556
IM695-001,19.57894737,3.105263158,2.631578947,3.263157895,2.684210526,3,,2.210526316,2.368421053,3.789473684,3.482758621,3.473684211,,2.473684211,2.894736842,3.578947368,2.736842105,3.263157895,3.684210526,2.947368421
IM696-001,26,2.47826087,2.434782609,3.913043478,2.086956522,2.043478261,,1.695652174,2.739130435,5.304347826,3.833333333,3.043478261,,2.260869565,2.652173913,3.956521739,2.652173913,3.434782609,4.52173913,4.304347826
IM697-015,22.25,2.55,2.4,3.8,2.75,2.25,,2.05,2.15,4.6,3.655172414,3.1,,2.1,3.1,3.5,1.95,3.5,3.9,3.7
IM698-011,20.84210526,3.789473684,2.631578947,3.842105263,3.210526316,2.894736842,,2.315789474,3.157894737,4.789473684,3.966666667,3.631578947,,2.368421053,2.684210526,4.315789474,3.526315789,3.947368421,4.105263158,3.789473684
IM699-002,25.33333333,3,3.333333333,3.333333333,2.266666667,3,,1.4,3.066666667,4.666666667,3.483870968,2.933333333,,2.466666667,3.333333333,3.666666667,3,2.8,3.4,3.2
IM700-009,29,3.153846154,2.846153846,3.615384615,2.461538462,3.307692308,,2.769230769,3.230769231,5,3.862068966,3.692307692,,3.153846154,3.076923077,3.846153846,3.769230769,3.692307692,4.153846154,3.846153846
IM701-312,26.23529412,2.764705882,2.529411765,3.411764706,2.823529412,2.470588235,,1.823529412,3,5.176470588,3.333333333,3.470588235,,2.705882353,3.176470588,4.294117647,4.117647059,3.411764706,4.058823529,3.294117647
IM702-101,25.75,3.875,2.25,3.875,3,2.75,,3.125,3.375,4.5625,3.862068966,3.75,,3.875,3.4375,4.375,3.9375,3.9375,4.0625,3.5
IM703-182,29.55,3.2,2.85,3.95,2.4,3.2,,2.15,2.75,4.9,3.709677419,4.5,,2.45,3.8,4.05,3.2,3.55,3.9,4.3
IM706-002,29.1875,2.4375,2.375,2.5625,1.8125,2.875,,1.75,2.3125,5.3125,3.034482759,2.8125,,1.625,3.125,3.375,2.6875,2.875,3.6875,4
IM707-105,33.47619048,2.714285714,2.714285714,3.285714286,2.333333333,2.666666667,,1.666666667,3.19047619,5.047619048,3.75862069,3.380952381,,2.380952381,2.619047619,4.142857143,2.571428571,3.523809524,3.857142857,4.380952381
IM708-362,41.82608696,3,3.217391304,2.695652174,1.782608696,3.347826087,,1.652173913,2.260869565,5.304347826,3.448275862,3.173913043,,2.956521739,3.47826087,4.043478261,3.086956522,3.347826087,3.913043478,3.391304348
IM709-103,33.45454545,3,2.681818182,3.136363636,2.590909091,2.772727273,,1.545454545,3.363636364,5.136363636,3.75,2.681818182,,2.681818182,2.727272727,4.136363636,2.909090909,3.772727273,3.636363636,3.727272727
IM711-011,25.23809524,2.904761905,2.380952381,4.095238095,2.380952381,2.285714286,,1.904761905,3.666666667,5.428571429,2.59375,3.19047619,,2.714285714,3.142857143,3.904761905,3.142857143,3.428571429,3.714285714,4.523809524
IM712-005,25.47826087,2.217391304,2.652173913,4.782608696,2.52173913,2,,2.043478261,4.260869565,5.391304348,4.366666667,2.565217391,,2.869565217,2.347826087,4.739130435,3.043478261,4.608695652,4.826086957,4.782608696
IM715-013,21.9375,3,2.4375,4.0625,2.4375,2.4375,,2.0625,3.625,4.75,4.392857143,3.0625,,3,2.625,4.25,3,3.9375,4.3125,3.625
IM716-316,21.81818182,3.090909091,2.954545455,4.090909091,3.272727273,3.045454545,,2,3.409090909,4.772727273,4.1875,3.590909091,,2.863636364,3.363636364,4.5,3.363636364,3.909090909,4.318181818,4.045454545
